Block 63, type A, key 484558414354 :00  00  00  00  00  00  07  87  8f  00  00  00  00  00  00  00  
Block 62, type A, key 484558414354 :6e  65  20  70  61  73  20  75  74  69  6c  69  73  65  72  2e  
Block 61, type A, key 484558414354 :64  65  70  6f  74  20  6c  65  67  61  6c  20  49  4e  50  49  
Block 60, type A, key 484558414354 :48  45  58  41  43  54  20  2d  00  43  4f  47  45  4c  45  43  
Block 59, type A, key 484558414354 :00  00  00  00  00  00  78  77  88  00  00  00  00  00  00  00  
Block 58, type A, key 484558414354 :00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
Block 57, type A, key 484558414354 :00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
Block 56, type A, key 484558414354 :b0  05  93  c8  7c  89  f1  a1  f7  4e  9d  11  3f  7e  fd  fb  
Block 55, type A, key 484558414354 :00  00  00  00  00  00  78  77  88  00  00  00  00  00  00  00  
Block 54, type A, key 484558414354 :00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
Block 53, type A, key 484558414354 :00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
Block 52, type A, key 484558414354 :00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
Block 51, type A, key 484558414354 :00  00  00  00  00  00  78  77  88  00  00  00  00  00  00  00  
Block 50, type A, key 484558414354 :00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
Block 49, type A, key 484558414354 :00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
Block 48, type A, key 484558414354 :00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
Block 47, type A, key 484558414354 :00  00  00  00  00  00  78  77  88  00  00  00  00  00  00  00  
Block 46, type A, key 484558414354 :00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
Block 45, type A, key 484558414354 :00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
Block 44, type A, key 484558414354 :00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  
